Entity,Code,Year,HDI
Afghanistan,AFG,2022,0.462
Albania,ALB,2022,0.789
Algeria,DZA,2022,0.745
Angola,AGO,2022,0.591
Argentina,ARG,2022,0.849
Armenia,ARM,2022,0.786
Australia,AUS,2022,0.946
Austria,AUT,2022,0.926
Azerbaijan,AZE,2022,0.76
Bahamas,BHS,2022,0.82
Bangladesh,BGD,2022,0.67
Barbados,BRB,2022,0.809
Belarus,BLR,2022,0.801
Belgium,BEL,2022,0.942
Benin,BEN,2022,0.504
Bhutan,BTN,2022,0.681
Bolivia,BOL,2022,0.698
Bosnia and Herzegovina,BIH,2022,0.779
Botswana,BWA,2022,0.708
Brazil,BRA,2022,0.76
Brunei,BRN,2022,0.823
Bulgaria,BGR,2022,0.799
Burkina Faso,BFA,2022,0.438
Burundi,BDI,2022,0.42
Cambodia,KHM,2022,0.6
Cameroon,CMR,2022,0.587
Canada,CAN,2022,0.935
Cape Verde,CPV,2022,0.661
Chad,TCD,2022,0.394
Chile,CHL,2022,0.86
China,CHN,2022,0.788
Colombia,COL,2022,0.758
Comoros,COM,2022,0.586
Congo,COG,2022,0.593
Costa Rica,CRI,2022,0.806
Cote d'Ivoire,CIV,2022,0.534
Croatia,HRV,2022,0.878
Cyprus,CYP,2022,0.907
Czechia,CZE,2022,0.895
Democratic Republic of Congo,COD,2022,0.481
Denmark,DNK,2022,0.952
Djibouti,DJI,2022,0.515
Dominican Republic,DOM,2022,0.766
East Timor,TLS,2022,0.566
Ecuador,ECU,2022,0.765
Egypt,EGY,2022,0.728
El Salvador,SLV,2022,0.674
Estonia,EST,2022,0.899
Eswatini,SWZ,2022,0.61
Ethiopia,ETH,2022,0.492
Fiji,FJI,2022,0.729
Finland,FIN,2022,0.942
France,FRA,2022,0.91
Gabon,GAB,2022,0.693
Gambia,GMB,2022,0.495
Georgia,GEO,2022,0.814
Germany,DEU,2022,0.95
Ghana,GHA,2022,0.602
Greece,GRC,2022,0.893
Guatemala,GTM,2022,0.629
Guinea,GIN,2022,0.471
Guinea-Bissau,GNB,2022,0.483
Haiti,HTI,2022,0.552
Honduras,HND,2022,0.624
Hong Kong,HKG,2022,0.956
Hungary,HUN,2022,0.851
Iceland,ISL,2022,0.959
India,IND,2022,0.644
Indonesia,IDN,2022,0.713
Iran,IRN,2022,0.78
Iraq,IRQ,2022,0.673
Ireland,IRL,2022,0.95
Israel,ISR,2022,0.915
Italy,ITA,2022,0.906
Jamaica,JAM,2022,0.706
Japan,JPN,2022,0.92
Jordan,JOR,2022,0.736
Kazakhstan,KAZ,2022,0.802
Kenya,KEN,2022,0.601
Kiribati,KIR,2022,0.628
Kyrgyzstan,KGZ,2022,0.701
Laos,LAO,2022,0.62
Latvia,LVA,2022,0.879
Lesotho,LSO,2022,0.521
Liberia,LBR,2022,0.487
Lithuania,LTU,2022,0.879
Luxembourg,LUX,2022,0.927
Madagascar,MDG,2022,0.487
Malawi,MWI,2022,0.508
Malaysia,MYS,2022,0.807
Maldives,MDV,2022,0.762
Mali,MLI,2022,0.41
Malta,MLT,2022,0.915
Marshall Islands,MHL,2022,0.731
Mauritania,MRT,2022,0.54
Mauritius,MUS,2022,0.796
Mexico,MEX,2022,0.781
Moldova,MDA,2022,0.763
Mongolia,MNG,2022,0.741
Montenegro,MNE,2022,0.844
Morocco,MAR,2022,0.698
Mozambique,MOZ,2022,0.461
Myanmar,MMR,2022,0.608
Namibia,NAM,2022,0.61
Nepal,NPL,2022,0.601
Netherlands,NLD,2022,0.946
New Zealand,NZL,2022,0.939
Nicaragua,NIC,2022,0.669
Niger,NER,2022,0.394
Nigeria,NGA,2022,0.548
North Macedonia,MKD,2022,0.765
Norway,NOR,2022,0.966
Oman,OMN,2022,0.819
Pakistan,PAK,2022,0.54
Palau,PLW,2022,0.797
Palestine,PSE,2022,0.716
Panama,PAN,2022,0.82
Papua New Guinea,PNG,2022,0.568
Paraguay,PRY,2022,0.731
Peru,PER,2022,0.762
Philippines,PHL,2022,0.71
Poland,POL,2022,0.881
Portugal,PRT,2022,0.874
Romania,ROU,2022,0.827
Russia,RUS,2022,0.821
Rwanda,RWA,2022,0.548
Saint Lucia,LCA,2022,0.725
Samoa,WSM,2022,0.702
Senegal,SEN,2022,0.517
Serbia,SRB,2022,0.805
Seychelles,SYC,2022,0.802
Sierra Leone,SLE,2022,0.458
Singapore,SGP,2022,0.949
Slovakia,SVK,2022,0.855
Slovenia,SVN,2022,0.926
South Africa,ZAF,2022,0.717
South Korea,KOR,2022,0.929
Spain,ESP,2022,0.911
Sri Lanka,LKA,2022,0.78
Sudan,SDN,2022,0.516
Sweden,SWE,2022,0.952
Switzerland,CHE,2022,0.967
Tajikistan,TJK,2022,0.679
Tanzania,TZA,2022,0.532
Thailand,THA,2022,0.803
Togo,TGO,2022,0.547
Tonga,TON,2022,0.739
Tunisia,TUN,2022,0.732
Turkey,TUR,2022,0.855
Tuvalu,TUV,2022,0.653
Uganda,UGA,2022,0.55
Ukraine,UKR,2022,0.734
United Arab Emirates,ARE,2022,0.937
United Kingdom,GBR,2022,0.94
United States,USA,2022,0.927
Uruguay,URY,2022,0.83
Venezuela,VEN,2022,0.699
Vietnam,VNM,2022,0.726
Yemen,YEM,2022,0.424
Zambia,ZMB,2022,0.569
Zimbabwe,ZWE,2022,0.55
